Nh,BOOK,"(0, 1)","(1, 2)",﻿,《军阀治世》,"['\ufeff', '《军阀治世》']",军阀治世.txt
Nh,Ns,"(26, 27)","(31, 32)",袁崇焕,山东,"['“', '山东', '三矿徒', '，', '就是', '那', '毛文龙', '、', '孔有德', '、', '尚可喜', '，', '毛文龙', '为', '三', '矿徒', '之首', '，', '先前', '便', '曾', '劫掠', '登莱', '，', '后', '被', '袁崇焕', '斩杀', '，', '此次', '在', '山东', '作乱', '的', '便是', '孔有德', '。', '”']",军阀治世.txt
Ns,Nh,"(31, 32)","(35, 36)",山东,孔有德,"['“', '山东', '三矿徒', '，', '就是', '那', '毛文龙', '、', '孔有德', '、', '尚可喜', '，', '毛文龙', '为', '三', '矿徒', '之首', '，', '先前', '便', '曾', '劫掠', '登莱', '，', '后', '被', '袁崇焕', '斩杀', '，', '此次', '在', '山东', '作乱', '的', '便是', '孔有德', '。', '”']",军阀治世.txt
Nh,Nh,"(1, 2)","(3, 4)",毛文龙,孔有德,"['“', '毛文龙', '，', '孔有德', '，', '袁崇焕', '…', '…', '”']",军阀治世.txt
Nh,Nh,"(1, 2)","(5, 6)",毛文龙,袁崇焕,"['“', '毛文龙', '，', '孔有德', '，', '袁崇焕', '…', '…', '”']",军阀治世.txt
Nh,Nh,"(3, 4)","(5, 6)",孔有德,袁崇焕,"['“', '毛文龙', '，', '孔有德', '，', '袁崇焕', '…', '…', '”']",军阀治世.txt
Nh,Nh,"(13, 14)","(15, 16)",袁崇焕,毛文龙,"['赵岩', '心中', '寻思', '着', '，', '他', '也', '算是', '熟读', '历史', '，', '对', '那', '袁崇焕', '、', '毛文龙', '、', '孔有德', '等', '人', '俱', '是', '清楚', '。']",军阀治世.txt
Nh,Nh,"(13, 14)","(17, 18)",袁崇焕,孔有德,"['赵岩', '心中', '寻思', '着', '，', '他', '也', '算是', '熟读', '历史', '，', '对', '那', '袁崇焕', '、', '毛文龙', '、', '孔有德', '等', '人', '俱', '是', '清楚', '。']",军阀治世.txt
Nh,Nh,"(15, 16)","(17, 18)",毛文龙,孔有德,"['赵岩', '心中', '寻思', '着', '，', '他', '也', '算是', '熟读', '历史', '，', '对', '那', '袁崇焕', '、', '毛文龙', '、', '孔有德', '等', '人', '俱', '是', '清楚', '。']",军阀治世.txt
Ns,Nh,"(32, 33)","(37, 38)",四川,张献忠,"['但', '事实上', '并', '不是', '那么', '可信', '，', '这个', '说', '是', '清朝', '乾隆年间', '满清', '放出', '的', '，', '人家', '是', '胜利者', '自然', '是', '想', '怎么', '说', '就', '怎么', '说', '，', '他们', '能', '把', '屠尽', '四川', '的', '大帽子', '扣', '到', '张献忠', '头上', '，', '自然', '也', '能', '编出', '个', '反间计', '来', '衬托', '黄台吉', '的', '英明', '，', '崇祯', '的', '愚昧无知', '。']",军阀治世.txt
Nh,Ns,"(48, 49)","(52, 53)",黄台吉,崇祯,"['但', '事实上', '并', '不是', '那么', '可信', '，', '这个', '说', '是', '清朝', '乾隆年间', '满清', '放出', '的', '，', '人家', '是', '胜利者', '自然', '是', '想', '怎么', '说', '就', '怎么', '说', '，', '他们', '能', '把', '屠尽', '四川', '的', '大帽子', '扣', '到', '张献忠', '头上', '，', '自然', '也', '能', '编出', '个', '反间计', '来', '衬托', '黄台吉', '的', '英明', '，', '崇祯', '的', '愚昧无知', '。']",军阀治世.txt
Nh,Nh,"(0, 1)","(7, 8)",袁崇焕,努尔哈赤,"['袁崇焕', '的', '能力', '其实', '并', '不怎么样', '，', '努尔哈赤', '是否是', '被', '炮击', '而', '死', '也', '未曾', '可知', '，', '再则', '他', '经略', '辽东', '后', '，', '并', '没有', '做', '很大', '的', '成绩', '。']",军阀治世.txt
Nh,Nh,"(10, 11)","(12, 13)",卢象升,孙传庭,"['这', '明末', '真正', '有', '本事', '的', '官员', '，', '应该', '是', '卢象升', '、', '孙传庭', '这', '二人', '，', '一个', '擅长', '野战', '，', '一个', '擅长', '经营', '。']",军阀治世.txt
Nh,Ns,"(4, 5)","(6, 7)",孔有德,青州,"['如', '叛乱', '之始', '，', '孔有德', '部过', '青州', '，', '仅', '千余', '人', '，', '余', '大成', '率兵', '3000', '追击', '甚易', '，', '却', '放之行', '，', '使', '孔有德', '叛军', '获得', '喘息', '时间', '，', '得以', '迅速', '扩大', '队伍', '，', '连克', '10', '余座', '县城', '，', '俘获', '或', '杀死', '两任', '登莱', '巡抚', '、', '一任', '山东', '巡抚', '，', '京畿', '震动', '。']",军阀治世.txt
Ns,Ns,"(7, 8)","(13, 14)",北马镇,北马镇,"['沿着', '官道', '，', '路过', '了', '一个', '叫做', '北马镇', '的', '地方', '，', '此刻', '的', '北马镇', '已经', '是', '残破', '不堪', '，', '几个', '人', '坐在', '路边', '，', '架', '着', '一口', '大锅', '，', '不', '知道', '在', '干什么', '。']",军阀治世.txt
Nh,Nh,"(4, 5)","(10, 11)",赵岩,赵岩,"['那', '妇人', '接着', '和', '赵岩', '说', '了', '些', '话', '，', '赵岩', '这个', '西贝货', '自然', '不敢', '乱说', '什么', '，', '继续', '装傻充愣', '，', '先', '蒙混过关', '再说', '。']",军阀治世.txt
Nh,Nh,"(14, 15)","(20, 21)",赵家和,赵家,"['这', '赵家', '村是', '赵家', '盖', '的', '，', '村里', '住', '的', '都', '是', '佃户', '，', '赵家和', '其他', '土豪', '有些', '不同', '，', '赵家', '依靠', '的', '是', '家丁', '提供', '的', '武力', '，', '没有', '宗族', '的', '武力', '在内', '。']",军阀治世.txt
Ns,Ns,"(7, 8)","(13, 14)",福建,漳浦,"['原来', '他', '那个', '便宜', '老子', '早年', '是', '福建', '漳浦', '过来', '的', '，', '和', '漳浦', '赵家', '也', '断', '了', '联系', '，', '在', '这', '山东', '并', '没有', '宗族', '的', '武力', '可以', '依靠', '。']",军阀治世.txt
Nh,Nh,"(1, 2)","(7, 8)",赵全,赵全,"['这时', '赵全', '匆匆', '走', '了', '进来', '，', '赵全', '就是', '那个', '带', '着', '赵岩', '回', '赵家', '村', '的', '家仆', '，', '自从', '原来', '的', '管家', '在', '黄县', '遇难', '后', '，', '就', '属', '他', '的', '资格', '最老', '，', '因此', '成', '了', '赵家', '新', '的', '管家', '。']",军阀治世.txt
Nh,Nh,"(7, 8)","(12, 13)",赵全,赵岩,"['这时', '赵全', '匆匆', '走', '了', '进来', '，', '赵全', '就是', '那个', '带', '着', '赵岩', '回', '赵家', '村', '的', '家仆', '，', '自从', '原来', '的', '管家', '在', '黄县', '遇难', '后', '，', '就', '属', '他', '的', '资格', '最老', '，', '因此', '成', '了', '赵家', '新', '的', '管家', '。']",军阀治世.txt
Nh,Ns,"(0, 1)","(4, 5)",孔有德,登州,"['孔有德', '叛乱', '之后', '，', '登州', '一片', '萧条', '，', '赵家', '也', '只是', '依靠', '这', '山中', '的', '小堡', '自保', '罢了', '，', '赵家', '的', '很多', '佃户', '都', '是', '自己', '形成', '村落', '的', '，', '毫无', '悬念', '的', '被', '孔有德', '给', '劫掠', '了', '，', '佃户', '死的死', '，', '逃', '的', '逃', '，', '现在', '也', '不', '剩下', '几个', '了', '。']",军阀治世.txt
Ns,Nh,"(4, 5)","(8, 9)",登州,赵家,"['孔有德', '叛乱', '之后', '，', '登州', '一片', '萧条', '，', '赵家', '也', '只是', '依靠', '这', '山中', '的', '小堡', '自保', '罢了', '，', '赵家', '的', '很多', '佃户', '都', '是', '自己', '形成', '村落', '的', '，', '毫无', '悬念', '的', '被', '孔有德', '给', '劫掠', '了', '，', '佃户', '死的死', '，', '逃', '的', '逃', '，', '现在', '也', '不', '剩下', '几个', '了', '。']",军阀治世.txt
Nh,Nh,"(0, 1)","(5, 6)",赵岩,赵全,"['赵岩', '这', '想法', '却', '把', '赵全', '给', '吓', '了', '一大跳', '，', '连忙', '摇头', '说道', '：', '“', '公子', '，', '这', '万万', '使不得', '。']",军阀治世.txt
Nh,Nh,"(0, 1)","(4, 5)",赵岩,赵全,"['赵岩', '正说', '着', '，', '赵全', '猛然', '说道', '：', '“', '公子', '说', '的', '可是', '地瓜', '？']",军阀治世.txt
Ns,Ns,"(5, 6)","(12, 13)",漳浦,福建,"['“', '小时候', '跟', '老爷', '在', '漳浦', '时见', '过', '，', '那', '东西', '在', '福建', '很多', '，', '以前', '有任', '巡抚', '推广', '过', '那', '东西', '。']",军阀治世.txt
Nh,Nh,"(0, 1)","(3, 4)",赵全,赵岩,"['赵全', '以前', '是', '赵岩', '他', '那', '便宜', '老子', '的', '书童', '，', '也', '是从', '漳浦', '那', '过来', '的', '。']",军阀治世.txt
Nh,Ns,"(0, 1)","(5, 6)",赵岩,福建,"['赵岩', '想', '了', '想', '，', '福建', '离', '山东', '那么', '远', '，', '跑', '一', '躺', '不如', '把', '能', '办', '的', '都', '办', '了', '。']",军阀治世.txt
Nh,Ns,"(0, 1)","(7, 8)",赵岩,山东,"['赵岩', '想', '了', '想', '，', '福建', '离', '山东', '那么', '远', '，', '跑', '一', '躺', '不如', '把', '能', '办', '的', '都', '办', '了', '。']",军阀治世.txt
Ns,Ns,"(5, 6)","(7, 8)",福建,山东,"['赵岩', '想', '了', '想', '，', '福建', '离', '山东', '那么', '远', '，', '跑', '一', '躺', '不如', '把', '能', '办', '的', '都', '办', '了', '。']",军阀治世.txt
Nh,Nh,"(0, 1)","(3, 4)",赵全,赵岩,"['赵全', '不解', '，', '赵岩', '知道', '这些', '东西', '的', '叫法', '和', '后世', '的', '叫法', '不', '一样', '，', '于是', '细心', '的', '给', '赵全', '描述', '形态', '。']",军阀治世.txt
Ns,Nh,"(1, 2)","(8, 9)",黄县,孔有德,"['在', '黄县', '有', '几家', '店铺', '，', '也', '随着', '孔有德', '攻克', '黄县', '而', '破败', '，', '他', '那', '便宜', '父亲', '出事', '的', '时候', '带', '着', '银子', '到', '黄县', '做', '一桩', '大', '交易', '，', '连带', '赵家', '的', '银子', '也', '被', '叛军', '抢', '了', '去', '，', '现在', '手头', '只', '剩下', '一千多', '两', '银子', '。']",军阀治世.txt
Nh,Ns,"(8, 9)","(10, 11)",孔有德,黄县,"['在', '黄县', '有', '几家', '店铺', '，', '也', '随着', '孔有德', '攻克', '黄县', '而', '破败', '，', '他', '那', '便宜', '父亲', '出事', '的', '时候', '带', '着', '银子', '到', '黄县', '做', '一桩', '大', '交易', '，', '连带', '赵家', '的', '银子', '也', '被', '叛军', '抢', '了', '去', '，', '现在', '手头', '只', '剩下', '一千多', '两', '银子', '。']",军阀治世.txt
Ns,Nh,"(25, 26)","(32, 33)",黄县,赵家,"['在', '黄县', '有', '几家', '店铺', '，', '也', '随着', '孔有德', '攻克', '黄县', '而', '破败', '，', '他', '那', '便宜', '父亲', '出事', '的', '时候', '带', '着', '银子', '到', '黄县', '做', '一桩', '大', '交易', '，', '连带', '赵家', '的', '银子', '也', '被', '叛军', '抢', '了', '去', '，', '现在', '手头', '只', '剩下', '一千多', '两', '银子', '。']",军阀治世.txt
Nh,Nh,"(22, 23)","(26, 27)",赵全,赵岩,"['一边', '让', '赵全', '出去', '派', '人', '出去', '找', '材料', '，', '一边', '拿出', '一些', '银子', '在', '后门', '的', '花园', '边建', '小', '窑子', '，', '赵全', '虽然', '不', '知道', '赵岩', '在', '干什么', '，', '但', '只', '以为', '是', '赵岩', '的', '一时', '兴起', '，', '弄些', '东西', '玩', '。']",军阀治世.txt
Nh,Nh,"(0, 1)","(2, 3)",赵岩,赵全,"['赵岩', '听', '赵全', '的', '决定', '，', '不由', '大吃一惊', '，', '这', '贩卖', '私盐', '可是', '犯法', '的', '。']",军阀治世.txt
Nh,Nh,"(4, 5)","(8, 9)",朱元璋,朱元璋,"['这', '都', '得', '从', '朱元璋', '说', '去', '，', '朱元璋', '出身', '贫寒', '，', '能', '体察', '平民', '之苦', '。']",军阀治世.txt
Nh,Nh,"(1, 2)","(5, 6)",赵岩,孔有德,"['以', '赵岩', '估计', '，', '现在', '孔有德', '叛乱', '刚过', '，', '登州', '境内', '的', '势力', '大多', '不', '强', '。']",军阀治世.txt
Nh,Ns,"(5, 6)","(9, 10)",孔有德,登州,"['以', '赵岩', '估计', '，', '现在', '孔有德', '叛乱', '刚过', '，', '登州', '境内', '的', '势力', '大多', '不', '强', '。']",军阀治世.txt
Nh,Nh,"(9, 10)","(12, 13)",孔有德,关宁,"['唯一', '战斗力', '算强', '的', '，', '那', '便是', '镇压', '了', '孔有德', '叛乱', '的', '关宁', '铁骑', '，', '关宁', '铁骑', '的', '前身', '是', '戚家军', '，', '后来', '被', '祖大寿', '为首', '的', '祖家', '控制', '。']",军阀治世.txt
Nh,Nh,"(9, 10)","(15, 16)",孔有德,关宁,"['唯一', '战斗力', '算强', '的', '，', '那', '便是', '镇压', '了', '孔有德', '叛乱', '的', '关宁', '铁骑', '，', '关宁', '铁骑', '的', '前身', '是', '戚家军', '，', '后来', '被', '祖大寿', '为首', '的', '祖家', '控制', '。']",军阀治世.txt
Nh,Nh,"(12, 13)","(15, 16)",关宁,关宁,"['唯一', '战斗力', '算强', '的', '，', '那', '便是', '镇压', '了', '孔有德', '叛乱', '的', '关宁', '铁骑', '，', '关宁', '铁骑', '的', '前身', '是', '戚家军', '，', '后来', '被', '祖大寿', '为首', '的', '祖家', '控制', '。']",军阀治世.txt
Nh,Nh,"(15, 16)","(20, 21)",关宁,戚家军,"['唯一', '战斗力', '算强', '的', '，', '那', '便是', '镇压', '了', '孔有德', '叛乱', '的', '关宁', '铁骑', '，', '关宁', '铁骑', '的', '前身', '是', '戚家军', '，', '后来', '被', '祖大寿', '为首', '的', '祖家', '控制', '。']",军阀治世.txt
Ns,Nh,"(1, 2)","(3, 4)",山东,孔有德,"['前来', '山东', '镇压', '孔有德', '的', '关宁', '铁骑', '，', '刚', '从', '辽东', '战场', '溃败', '下来', '，', '在', '辽东', '是', '孙子', '，', '在', '山东', '可是', '大爷', '，', '杀得', '孔有德', '大败亏输', '。']",军阀治世.txt
Ns,Nh,"(1, 2)","(5, 6)",山东,关宁,"['前来', '山东', '镇压', '孔有德', '的', '关宁', '铁骑', '，', '刚', '从', '辽东', '战场', '溃败', '下来', '，', '在', '辽东', '是', '孙子', '，', '在', '山东', '可是', '大爷', '，', '杀得', '孔有德', '大败亏输', '。']",军阀治世.txt
Nh,Nh,"(3, 4)","(5, 6)",孔有德,关宁,"['前来', '山东', '镇压', '孔有德', '的', '关宁', '铁骑', '，', '刚', '从', '辽东', '战场', '溃败', '下来', '，', '在', '辽东', '是', '孙子', '，', '在', '山东', '可是', '大爷', '，', '杀得', '孔有德', '大败亏输', '。']",军阀治世.txt
Nh,Ns,"(3, 4)","(10, 11)",孔有德,辽东,"['前来', '山东', '镇压', '孔有德', '的', '关宁', '铁骑', '，', '刚', '从', '辽东', '战场', '溃败', '下来', '，', '在', '辽东', '是', '孙子', '，', '在', '山东', '可是', '大爷', '，', '杀得', '孔有德', '大败亏输', '。']",军阀治世.txt
Nh,Ns,"(5, 6)","(10, 11)",关宁,辽东,"['前来', '山东', '镇压', '孔有德', '的', '关宁', '铁骑', '，', '刚', '从', '辽东', '战场', '溃败', '下来', '，', '在', '辽东', '是', '孙子', '，', '在', '山东', '可是', '大爷', '，', '杀得', '孔有德', '大败亏输', '。']",军阀治世.txt
Ns,Ns,"(10, 11)","(16, 17)",辽东,辽东,"['前来', '山东', '镇压', '孔有德', '的', '关宁', '铁骑', '，', '刚', '从', '辽东', '战场', '溃败', '下来', '，', '在', '辽东', '是', '孙子', '，', '在', '山东', '可是', '大爷', '，', '杀得', '孔有德', '大败亏输', '。']",军阀治世.txt
Ns,Ns,"(16, 17)","(21, 22)",辽东,山东,"['前来', '山东', '镇压', '孔有德', '的', '关宁', '铁骑', '，', '刚', '从', '辽东', '战场', '溃败', '下来', '，', '在', '辽东', '是', '孙子', '，', '在', '山东', '可是', '大爷', '，', '杀得', '孔有德', '大败亏输', '。']",军阀治世.txt
Ns,Nh,"(21, 22)","(26, 27)",山东,孔有德,"['前来', '山东', '镇压', '孔有德', '的', '关宁', '铁骑', '，', '刚', '从', '辽东', '战场', '溃败', '下来', '，', '在', '辽东', '是', '孙子', '，', '在', '山东', '可是', '大爷', '，', '杀得', '孔有德', '大败亏输', '。']",军阀治世.txt
Nh,Ns,"(18, 19)","(22, 23)",孔有德,山东,"['从', '侧面', '上', '看', '，', '也', '表现', '出', '了', '明廷', '对', '地方', '控制力', '的', '薄弱', '，', '一个', '小小的', '孔有德', '，', '竟然', '在', '山东', '横扫', '二府', '十余', '县', '，', '杀', '了', '一个', '山东', '巡抚', '，', '一个', '登莱', '巡抚', '，', '还', '俘虏', '了', '原先', '的', '登莱', '巡抚', '毛元仪', '，', '念', '在', '旧日', '上司', '的', '情份', '上', '，', '孔有德', '把', '毛元仪', '给', '放', '了', '。']",军阀治世.txt
Nh,Ns,"(18, 19)","(24, 25)",孔有德,二府,"['从', '侧面', '上', '看', '，', '也', '表现', '出', '了', '明廷', '对', '地方', '控制力', '的', '薄弱', '，', '一个', '小小的', '孔有德', '，', '竟然', '在', '山东', '横扫', '二府', '十余', '县', '，', '杀', '了', '一个', '山东', '巡抚', '，', '一个', '登莱', '巡抚', '，', '还', '俘虏', '了', '原先', '的', '登莱', '巡抚', '毛元仪', '，', '念', '在', '旧日', '上司', '的', '情份', '上', '，', '孔有德', '把', '毛元仪', '给', '放', '了', '。']",军阀治世.txt
Ns,Ns,"(22, 23)","(24, 25)",山东,二府,"['从', '侧面', '上', '看', '，', '也', '表现', '出', '了', '明廷', '对', '地方', '控制力', '的', '薄弱', '，', '一个', '小小的', '孔有德', '，', '竟然', '在', '山东', '横扫', '二府', '十余', '县', '，', '杀', '了', '一个', '山东', '巡抚', '，', '一个', '登莱', '巡抚', '，', '还', '俘虏', '了', '原先', '的', '登莱', '巡抚', '毛元仪', '，', '念', '在', '旧日', '上司', '的', '情份', '上', '，', '孔有德', '把', '毛元仪', '给', '放', '了', '。']",军阀治世.txt
Ns,Ns,"(24, 25)","(31, 32)",二府,山东,"['从', '侧面', '上', '看', '，', '也', '表现', '出', '了', '明廷', '对', '地方', '控制力', '的', '薄弱', '，', '一个', '小小的', '孔有德', '，', '竟然', '在', '山东', '横扫', '二府', '十余', '县', '，', '杀', '了', '一个', '山东', '巡抚', '，', '一个', '登莱', '巡抚', '，', '还', '俘虏', '了', '原先', '的', '登莱', '巡抚', '毛元仪', '，', '念', '在', '旧日', '上司', '的', '情份', '上', '，', '孔有德', '把', '毛元仪', '给', '放', '了', '。']",军阀治世.txt
Nh,Ns,"(0, 1)","(4, 5)",关宁,辽东,"['关宁', '铁骑', '要', '在', '辽东', '抵御', '满清', '，', '是', '明廷', '最', '精锐', '的', '王牌', '部队', '，', '也', '不会', '布置', '在', '登莱', '，', '叛乱', '评定', '已经', '过去', '一月', '时间', '，', '想来', '也', '是', '走', '人', '了', '。']",军阀治世.txt
Ns,Nh,"(20, 21)","(23, 24)",山东,赵岩,"['但', '现在', '已经', '是', '崇祯', '六年', '八月', '了', '，', '离明亡', '只有', '十年', '，', '这', '十年', '里', '满清', '还会', '多次', '来', '山东', '劫掠', '，', '赵岩', '不由', '感觉', '时间', '紧迫', '。']",军阀治世.txt
Nh,Nh,"(2, 3)","(6, 7)",周,赵岩,"['村里', '的', '周', '铁匠', '正在', '给', '赵岩', '连日', '打造', '模板', '，', '毕竟', '要', '做', '玻璃镜', '的话', '，', '不', '可能', '就', '这', '一种', '一米', '长宽', '的', '正方形', '玻璃镜', '，', '还要', '小', '的', '，', '圆', '的', '，', '椭圆', '的', '，', '各种规格', '的', '都', '要', '。']",军阀治世.txt
Nh,Nh,"(0, 1)","(4, 5)",媛,于富贵,"['媛', '儿', '本来', '出身', '于富贵', '之', '家', '，', '父亲', '是', '朝', '中', '的', '大官', '，', '属于', '阉党', '的', '行列', '，', '崇祯', '一上台', '，', '直接', '把媛儿', '的', '父亲', '给', '办', '了', '，', '她', '也', '被', '卖', '到', '了', '教坊', '成', '了', '官', '妓', '。']",军阀治世.txt
Nh,BOOK,"(0, 1)","(2, 3)",金庸,《鹿鼎记》,"['金庸', '的', '《鹿鼎记》', '里面', '把', '满清', '皇帝', '描述', '得', '更是', '奇假', '无比', '，', '也许', '和', '金庸', '的', '祖上', '当', '个', '满清', '官员', '有关', '吧', '！']",军阀治世.txt
Nh,Nh,"(1, 2)","(6, 7)",张氏,赵岩,"['走进', '张氏', '念佛', '的', '小礼堂', '，', '赵岩', '走进', '礼堂', '，', '张氏', '正', '虔诚', '的', '默念', '着', '佛经', '。']",军阀治世.txt
Nh,Nh,"(6, 7)","(10, 11)",赵岩,张氏,"['走进', '张氏', '念佛', '的', '小礼堂', '，', '赵岩', '走进', '礼堂', '，', '张氏', '正', '虔诚', '的', '默念', '着', '佛经', '。']",军阀治世.txt
Nh,Nh,"(0, 1)","(6, 7)",赵岩点,张氏,"['赵岩点', '了', '点头', '，', '跑', '到', '张氏', '身边', '，', '把', '一个', '梳妆盒', '拿', '了', '出来', '，', '说道', '：', '“', '娘亲', '，', '这是', '孩儿', '给', '您', '做', '的', '。', '”']",军阀治世.txt
Nh,Nh,"(0, 1)","(7, 8)",张氏,赵岩,"['张氏', '大吃一惊', '，', '抬头', '看', '了', '看', '赵岩', '，', '问道', '：', '“', '岩儿', '你', '这些', '日子', '在', '后花园', '偷偷摸摸', '的', '就是', '造', '这种', '西洋镜', '？', '”']",军阀治世.txt
Nh,Nh,"(0, 1)","(7, 8)",张氏,赵岩,"['张氏', '难得', '露出', '了', '笑容', '，', '摸了摸', '赵岩', '的', '脑袋', '，', '欣慰', '的', '说道', '：', '“', '你', '能', '想到', '这点', '，', '我们', '赵家', '也', '不会', '没落', '下去', '，', '你', '爹', '也', '能', '含笑九泉', '了', '，', '不过', '这', '西洋镜', '获利', '丰厚', '，', '切记', '不要', '出去', '声张', '，', '等', '你', '全叔', '回来', '了', '和', '他', '合计', '合计', '。', '”']",军阀治世.txt
Nh,Nh,"(0, 1)","(7, 8)",媛,赵岩,"['媛', '儿', '慌忙', '摇头', '说道', '，', '在', '赵岩', '那', '平静', '的', '注视', '下', '，', '媛', '儿', '低下', '了', '螓首', '，', '将', '藏', '在', '后面', '的', '东西', '拿', '了', '出来', '。']",军阀治世.txt
Nh,Nh,"(15, 16)","(18, 19)",赵家,张氏,"['媛', '儿', '回答', '道', '，', '小时候', '她', '父亲', '就', '教过', '她', '读书', '写字', '，', '来到', '赵家', '后', '，', '张氏', '虽然', '不', '同意', '她', '读书', '写字', '，', '但', '她', '还是', '经常', '偷偷', '的', '看书', '练字', '，', '倒', '也', '没拉下', '。']",军阀治世.txt
Nh,Nh,"(6, 7)","(10, 11)",媛,赵岩,"['写', '了', '一张', '纸', '下来', '，', '媛', '儿', '看', '向', '赵岩', '，', '赵岩', '赞叹', '道', '：', '“', '很', '不错', '，', '我', '现在', '连', '写字', '都', '忘记', '了', '，', '以后', '有媛儿', '在', '身边', '，', '可能', '帮', '我', '大忙', '。', '”']",军阀治世.txt
Nh,Nh,"(6, 7)","(12, 13)",媛,赵岩,"['写', '了', '一张', '纸', '下来', '，', '媛', '儿', '看', '向', '赵岩', '，', '赵岩', '赞叹', '道', '：', '“', '很', '不错', '，', '我', '现在', '连', '写字', '都', '忘记', '了', '，', '以后', '有媛儿', '在', '身边', '，', '可能', '帮', '我', '大忙', '。', '”']",军阀治世.txt
Nh,Nh,"(10, 11)","(12, 13)",赵岩,赵岩,"['写', '了', '一张', '纸', '下来', '，', '媛', '儿', '看', '向', '赵岩', '，', '赵岩', '赞叹', '道', '：', '“', '很', '不错', '，', '我', '现在', '连', '写字', '都', '忘记', '了', '，', '以后', '有媛儿', '在', '身边', '，', '可能', '帮', '我', '大忙', '。', '”']",军阀治世.txt
