Nh,Ns,"(0, 1)","(7, 8)",陶菊隐,湖南,"['陶菊隐', '（', '1898', '~', '1989', '）', '，', '湖南', '长沙人', '，', '民国', '时代', '的', '著名', '记者', '，', '近代', '军阀史', '的', '权威', '见证者', '和', '整理', '研究者', '。']"
Nh,Nh,"(5, 6)","(7, 8)",张作霖,徐,"['在', '这个', '问题', '上', '，', '张作霖', '与', '徐', '的', '意见', '是', '比较', '接近', '的', '，', '他', '与', '皖', '系', '并', '无', '不', '可解', '的', '深仇', '，', '还', '想', '收集', '皖系', '的', '残余', '势力', '，', '壮大', '自己', '的', '声势', '，', '以', '与', '直系', '相', '抗衡', '。']"
Ni,Ns,"(17, 19)","(24, 25)",安福国会,汤山,"['吴佩孚', '则', '主张', '彻底', '地', '肃清', '安福系', '分子', '，', '查抄祸', '首', '财产', '提充', '善后', '经费', '，', '解散', '安福', '国会', '，', '将', '段', '幽禁', '于', '汤山', '。']"
Nh,Nh,"(0, 1)","(4, 5)",曹锟,张作霖,"['曹锟', '为了', '保持', '与', '张作霖', '的', '合作', '关系', '，', '他', '的', '态度', '不', '像', '吴佩孚', '那样', '激烈', '，', '但', '也', '主张', '必须', '惩办', '一切', '与', '事变', '有关', '的', '皖系', '政客', '和', '安福系', '分子', '，', '以', '明', '责任', '。']"
Ns,Ns,"(4, 5)","(10, 11)",天津,东交民巷,"['他', '既', '不', '逃往', '天津', '，', '也', '不', '托庇', '于', '东交民巷', '外国', '饭店', '或者', '日本', '公', '使馆', '。']"
Ns,Ns,"(10, 11)","(14, 15)",东交民巷,日本,"['他', '既', '不', '逃往', '天津', '，', '也', '不', '托庇', '于', '东交民巷', '外国', '饭店', '或者', '日本', '公', '使馆', '。']"
Nh,Nh,"(3, 4)","(5, 6)",曹汝霖,陆宗舆,"['名单', '内', '有', '曹汝霖', '、', '陆宗舆', '二', '人', '。']"
Ns,Nh,"(13, 14)","(19, 20)",日本,陆宗舆,"['这', '两', '个', '人', '都', '是', '段', '内阁', '主持', '卖国', '外交', '、', '经手', '日本', '借款', '的', '主要', '人物', '，', '陆宗舆', '在', '直皖', '战争', '时', '还', '垫付', '过', '定国军', '一', '笔', '军费', '。']"
Nh,Nh,"(1, 2)","(3, 4)",徐世昌,曹,"['但是', '徐世昌', '和', '曹', '、', '陆', '两', '人', '有', '着', '一', '种', '不可告人', '的', '政治', '关系', '，', '他', '就', '亲笔', '把', '他们', '的', '名字', '从', '名单', '中', '勾', '掉', '了', '。']"
Nh,Ns,"(1, 2)","(5, 6)",徐世昌,陆,"['但是', '徐世昌', '和', '曹', '、', '陆', '两', '人', '有', '着', '一', '种', '不可告人', '的', '政治', '关系', '，', '他', '就', '亲笔', '把', '他们', '的', '名字', '从', '名单', '中', '勾', '掉', '了', '。']"
Nh,Ns,"(3, 4)","(5, 6)",曹,陆,"['但是', '徐世昌', '和', '曹', '、', '陆', '两', '人', '有', '着', '一', '种', '不可告人', '的', '政治', '关系', '，', '他', '就', '亲笔', '把', '他们', '的', '名字', '从', '名单', '中', '勾', '掉', '了', '。']"
Nh,Nh,"(7, 8)","(10, 11)",李纯,王揖唐,"['惩办祸', '首', '命令', '未', '发表', '前', '，', '李纯', '请求', '加入', '王揖唐', '为', '祸首', '之一', '，', '王占元', '也', '请求', '把', '吴光新', '的', '名字', '摆', '在', '里面', '。']"
Nh,Nh,"(10, 11)","(15, 16)",王揖唐,王占元,"['惩办祸', '首', '命令', '未', '发表', '前', '，', '李纯', '请求', '加入', '王揖唐', '为', '祸首', '之一', '，', '王占元', '也', '请求', '把', '吴光新', '的', '名字', '摆', '在', '里面', '。']"
Nh,Nh,"(15, 16)","(19, 20)",王占元,吴光新,"['惩办祸', '首', '命令', '未', '发表', '前', '，', '李纯', '请求', '加入', '王揖唐', '为', '祸首', '之一', '，', '王占元', '也', '请求', '把', '吴光新', '的', '名字', '摆', '在', '里面', '。']"
Nh,Nh,"(14, 15)","(16, 17)",徐树铮,曾毓隽,"['1920年', '7月', '29日', '，', '北京', '政府', '下令', '通缉祸', '首', '10', '人', '，', '计', '有', '徐树铮', '、', '曾毓隽', '、', '段芝贵', '、', '丁士源', '、', '朱深', '、', '王郅隆', '、', '梁鸿志', '、', '姚震', '、', '李思浩', '、', '姚国祯', '等', '。']"
Nh,Nh,"(14, 15)","(18, 19)",徐树铮,段芝贵,"['1920年', '7月', '29日', '，', '北京', '政府', '下令', '通缉祸', '首', '10', '人', '，', '计', '有', '徐树铮', '、', '曾毓隽', '、', '段芝贵', '、', '丁士源', '、', '朱深', '、', '王郅隆', '、', '梁鸿志', '、', '姚震', '、', '李思浩', '、', '姚国祯', '等', '。']"
Nh,Nh,"(14, 15)","(20, 21)",徐树铮,丁士源,"['1920年', '7月', '29日', '，', '北京', '政府', '下令', '通缉祸', '首', '10', '人', '，', '计', '有', '徐树铮', '、', '曾毓隽', '、', '段芝贵', '、', '丁士源', '、', '朱深', '、', '王郅隆', '、', '梁鸿志', '、', '姚震', '、', '李思浩', '、', '姚国祯', '等', '。']"
Nh,Nh,"(16, 17)","(18, 19)",曾毓隽,段芝贵,"['1920年', '7月', '29日', '，', '北京', '政府', '下令', '通缉祸', '首', '10', '人', '，', '计', '有', '徐树铮', '、', '曾毓隽', '、', '段芝贵', '、', '丁士源', '、', '朱深', '、', '王郅隆', '、', '梁鸿志', '、', '姚震', '、', '李思浩', '、', '姚国祯', '等', '。']"
Nh,Nh,"(16, 17)","(20, 21)",曾毓隽,丁士源,"['1920年', '7月', '29日', '，', '北京', '政府', '下令', '通缉祸', '首', '10', '人', '，', '计', '有', '徐树铮', '、', '曾毓隽', '、', '段芝贵', '、', '丁士源', '、', '朱深', '、', '王郅隆', '、', '梁鸿志', '、', '姚震', '、', '李思浩', '、', '姚国祯', '等', '。']"
Nh,Nh,"(16, 17)","(22, 23)",曾毓隽,朱深,"['1920年', '7月', '29日', '，', '北京', '政府', '下令', '通缉祸', '首', '10', '人', '，', '计', '有', '徐树铮', '、', '曾毓隽', '、', '段芝贵', '、', '丁士源', '、', '朱深', '、', '王郅隆', '、', '梁鸿志', '、', '姚震', '、', '李思浩', '、', '姚国祯', '等', '。']"
Nh,Nh,"(18, 19)","(20, 21)",段芝贵,丁士源,"['1920年', '7月', '29日', '，', '北京', '政府', '下令', '通缉祸', '首', '10', '人', '，', '计', '有', '徐树铮', '、', '曾毓隽', '、', '段芝贵', '、', '丁士源', '、', '朱深', '、', '王郅隆', '、', '梁鸿志', '、', '姚震', '、', '李思浩', '、', '姚国祯', '等', '。']"
Nh,Nh,"(18, 19)","(22, 23)",段芝贵,朱深,"['1920年', '7月', '29日', '，', '北京', '政府', '下令', '通缉祸', '首', '10', '人', '，', '计', '有', '徐树铮', '、', '曾毓隽', '、', '段芝贵', '、', '丁士源', '、', '朱深', '、', '王郅隆', '、', '梁鸿志', '、', '姚震', '、', '李思浩', '、', '姚国祯', '等', '。']"
Nh,Nh,"(18, 19)","(24, 25)",段芝贵,王郅隆,"['1920年', '7月', '29日', '，', '北京', '政府', '下令', '通缉祸', '首', '10', '人', '，', '计', '有', '徐树铮', '、', '曾毓隽', '、', '段芝贵', '、', '丁士源', '、', '朱深', '、', '王郅隆', '、', '梁鸿志', '、', '姚震', '、', '李思浩', '、', '姚国祯', '等', '。']"
Nh,Nh,"(20, 21)","(22, 23)",丁士源,朱深,"['1920年', '7月', '29日', '，', '北京', '政府', '下令', '通缉祸', '首', '10', '人', '，', '计', '有', '徐树铮', '、', '曾毓隽', '、', '段芝贵', '、', '丁士源', '、', '朱深', '、', '王郅隆', '、', '梁鸿志', '、', '姚震', '、', '李思浩', '、', '姚国祯', '等', '。']"
Nh,Nh,"(20, 21)","(24, 25)",丁士源,王郅隆,"['1920年', '7月', '29日', '，', '北京', '政府', '下令', '通缉祸', '首', '10', '人', '，', '计', '有', '徐树铮', '、', '曾毓隽', '、', '段芝贵', '、', '丁士源', '、', '朱深', '、', '王郅隆', '、', '梁鸿志', '、', '姚震', '、', '李思浩', '、', '姚国祯', '等', '。']"
Nh,Nh,"(20, 21)","(26, 27)",丁士源,梁鸿志,"['1920年', '7月', '29日', '，', '北京', '政府', '下令', '通缉祸', '首', '10', '人', '，', '计', '有', '徐树铮', '、', '曾毓隽', '、', '段芝贵', '、', '丁士源', '、', '朱深', '、', '王郅隆', '、', '梁鸿志', '、', '姚震', '、', '李思浩', '、', '姚国祯', '等', '。']"
Nh,Nh,"(22, 23)","(24, 25)",朱深,王郅隆,"['1920年', '7月', '29日', '，', '北京', '政府', '下令', '通缉祸', '首', '10', '人', '，', '计', '有', '徐树铮', '、', '曾毓隽', '、', '段芝贵', '、', '丁士源', '、', '朱深', '、', '王郅隆', '、', '梁鸿志', '、', '姚震', '、', '李思浩', '、', '姚国祯', '等', '。']"
Nh,Nh,"(22, 23)","(26, 27)",朱深,梁鸿志,"['1920年', '7月', '29日', '，', '北京', '政府', '下令', '通缉祸', '首', '10', '人', '，', '计', '有', '徐树铮', '、', '曾毓隽', '、', '段芝贵', '、', '丁士源', '、', '朱深', '、', '王郅隆', '、', '梁鸿志', '、', '姚震', '、', '李思浩', '、', '姚国祯', '等', '。']"
Nh,Nh,"(22, 23)","(28, 29)",朱深,姚震,"['1920年', '7月', '29日', '，', '北京', '政府', '下令', '通缉祸', '首', '10', '人', '，', '计', '有', '徐树铮', '、', '曾毓隽', '、', '段芝贵', '、', '丁士源', '、', '朱深', '、', '王郅隆', '、', '梁鸿志', '、', '姚震', '、', '李思浩', '、', '姚国祯', '等', '。']"
Nh,Nh,"(24, 25)","(26, 27)",王郅隆,梁鸿志,"['1920年', '7月', '29日', '，', '北京', '政府', '下令', '通缉祸', '首', '10', '人', '，', '计', '有', '徐树铮', '、', '曾毓隽', '、', '段芝贵', '、', '丁士源', '、', '朱深', '、', '王郅隆', '、', '梁鸿志', '、', '姚震', '、', '李思浩', '、', '姚国祯', '等', '。']"
Nh,Nh,"(24, 25)","(28, 29)",王郅隆,姚震,"['1920年', '7月', '29日', '，', '北京', '政府', '下令', '通缉祸', '首', '10', '人', '，', '计', '有', '徐树铮', '、', '曾毓隽', '、', '段芝贵', '、', '丁士源', '、', '朱深', '、', '王郅隆', '、', '梁鸿志', '、', '姚震', '、', '李思浩', '、', '姚国祯', '等', '。']"
Nh,Nh,"(24, 25)","(30, 31)",王郅隆,李思浩,"['1920年', '7月', '29日', '，', '北京', '政府', '下令', '通缉祸', '首', '10', '人', '，', '计', '有', '徐树铮', '、', '曾毓隽', '、', '段芝贵', '、', '丁士源', '、', '朱深', '、', '王郅隆', '、', '梁鸿志', '、', '姚震', '、', '李思浩', '、', '姚国祯', '等', '。']"
Nh,Nh,"(26, 27)","(28, 29)",梁鸿志,姚震,"['1920年', '7月', '29日', '，', '北京', '政府', '下令', '通缉祸', '首', '10', '人', '，', '计', '有', '徐树铮', '、', '曾毓隽', '、', '段芝贵', '、', '丁士源', '、', '朱深', '、', '王郅隆', '、', '梁鸿志', '、', '姚震', '、', '李思浩', '、', '姚国祯', '等', '。']"
Nh,Nh,"(26, 27)","(30, 31)",梁鸿志,李思浩,"['1920年', '7月', '29日', '，', '北京', '政府', '下令', '通缉祸', '首', '10', '人', '，', '计', '有', '徐树铮', '、', '曾毓隽', '、', '段芝贵', '、', '丁士源', '、', '朱深', '、', '王郅隆', '、', '梁鸿志', '、', '姚震', '、', '李思浩', '、', '姚国祯', '等', '。']"
Nh,Nh,"(26, 27)","(32, 33)",梁鸿志,姚国祯,"['1920年', '7月', '29日', '，', '北京', '政府', '下令', '通缉祸', '首', '10', '人', '，', '计', '有', '徐树铮', '、', '曾毓隽', '、', '段芝贵', '、', '丁士源', '、', '朱深', '、', '王郅隆', '、', '梁鸿志', '、', '姚震', '、', '李思浩', '、', '姚国祯', '等', '。']"
Nh,Nh,"(28, 29)","(30, 31)",姚震,李思浩,"['1920年', '7月', '29日', '，', '北京', '政府', '下令', '通缉祸', '首', '10', '人', '，', '计', '有', '徐树铮', '、', '曾毓隽', '、', '段芝贵', '、', '丁士源', '、', '朱深', '、', '王郅隆', '、', '梁鸿志', '、', '姚震', '、', '李思浩', '、', '姚国祯', '等', '。']"
Nh,Nh,"(28, 29)","(32, 33)",姚震,姚国祯,"['1920年', '7月', '29日', '，', '北京', '政府', '下令', '通缉祸', '首', '10', '人', '，', '计', '有', '徐树铮', '、', '曾毓隽', '、', '段芝贵', '、', '丁士源', '、', '朱深', '、', '王郅隆', '、', '梁鸿志', '、', '姚震', '、', '李思浩', '、', '姚国祯', '等', '。']"
Nh,Nh,"(30, 31)","(32, 33)",李思浩,姚国祯,"['1920年', '7月', '29日', '，', '北京', '政府', '下令', '通缉祸', '首', '10', '人', '，', '计', '有', '徐树铮', '、', '曾毓隽', '、', '段芝贵', '、', '丁士源', '、', '朱深', '、', '王郅隆', '、', '梁鸿志', '、', '姚震', '、', '李思浩', '、', '姚国祯', '等', '。']"
Ns,Ns,"(3, 4)","(6, 7)",湖南,长江,"['并', '明令', '罢免', '湖南', '督军', '兼', '长江', '上游', '警备', '总司令', '吴光新', '的', '本', '兼', '各职', '，', '吴光新', '所', '部', '军队', '，', '交', '由', '王占元', '收束', '处理', '。']"
Ns,Nh,"(3, 4)","(10, 11)",湖南,吴光新,"['并', '明令', '罢免', '湖南', '督军', '兼', '长江', '上游', '警备', '总司令', '吴光新', '的', '本', '兼', '各职', '，', '吴光新', '所', '部', '军队', '，', '交', '由', '王占元', '收束', '处理', '。']"
Ns,Nh,"(6, 7)","(10, 11)",长江,吴光新,"['并', '明令', '罢免', '湖南', '督军', '兼', '长江', '上游', '警备', '总司令', '吴光新', '的', '本', '兼', '各职', '，', '吴光新', '所', '部', '军队', '，', '交', '由', '王占元', '收束', '处理', '。']"
Nh,Nh,"(10, 11)","(16, 17)",吴光新,吴光新,"['并', '明令', '罢免', '湖南', '督军', '兼', '长江', '上游', '警备', '总司令', '吴光新', '的', '本', '兼', '各职', '，', '吴光新', '所', '部', '军队', '，', '交', '由', '王占元', '收束', '处理', '。']"
Nh,Nh,"(16, 17)","(23, 24)",吴光新,王占元,"['并', '明令', '罢免', '湖南', '督军', '兼', '长江', '上游', '警备', '总司令', '吴光新', '的', '本', '兼', '各职', '，', '吴光新', '所', '部', '军队', '，', '交', '由', '王占元', '收束', '处理', '。']"
Nh,Nh,"(16, 17)","(19, 20)",吴光新,王占元,"['这', '道', '命令', '实际上', '是', '“', '马后炮', '”', '，', '因为', '在', '命令', '未', '发表', '前', '，', '吴光新', '早就', '被', '王占元', '逮捕', '了', '。']"
Ns,Ns,"(22, 23)","(26, 27)",沙市,汉口,"['原来', '7月', '上旬', '直', '皖', '战争', '将', '发动', '的', '时候', '，', '吴光新', '奉', '着', '段', '的', '密令', '，', '调遣', '驻', '防宜昌', '、', '沙市', '的', '部队', '集中', '汉口', '，', '准备', '出兵', '河南', '攻击', '直军', '后路', '。']"
Ns,Ns,"(26, 27)","(30, 31)",汉口,河南,"['原来', '7月', '上旬', '直', '皖', '战争', '将', '发动', '的', '时候', '，', '吴光新', '奉', '着', '段', '的', '密令', '，', '调遣', '驻', '防宜昌', '、', '沙市', '的', '部队', '集中', '汉口', '，', '准备', '出兵', '河南', '攻击', '直军', '后路', '。']"
Nh,Ns,"(0, 1)","(5, 6)",吴光新,湖北,"['吴光新', '在', '1913年', '调', '到', '湖北', '的', '时候', '，', '所部', '只有', '第十三', '混', '成', '旅', '一', '旅', '。']"
Nh,Ns,"(6, 7)","(8, 9)",吴光新,四川,"['1917年', '8月', '，', '段', '内阁', '派', '吴光新', '进兵', '四川', '，', '并', '命', '王占元', '拨', '出', '第二', '混', '成', '旅', '(', '刘跃龙', '旅', ')', '归', '其', '节制', '，', '随同', '入', '川', '，', '吴', '自己', '又', '招编', '四', '个', '混成旅', '，', '因此', '共有', '兵力', '约', '一万', '数千', '人', '。']"
Nh,Nh,"(6, 7)","(12, 13)",吴光新,王占元,"['1917年', '8月', '，', '段', '内阁', '派', '吴光新', '进兵', '四川', '，', '并', '命', '王占元', '拨', '出', '第二', '混', '成', '旅', '(', '刘跃龙', '旅', ')', '归', '其', '节制', '，', '随同', '入', '川', '，', '吴', '自己', '又', '招编', '四', '个', '混成旅', '，', '因此', '共有', '兵力', '约', '一万', '数千', '人', '。']"
Ns,Nh,"(8, 9)","(12, 13)",四川,王占元,"['1917年', '8月', '，', '段', '内阁', '派', '吴光新', '进兵', '四川', '，', '并', '命', '王占元', '拨', '出', '第二', '混', '成', '旅', '(', '刘跃龙', '旅', ')', '归', '其', '节制', '，', '随同', '入', '川', '，', '吴', '自己', '又', '招编', '四', '个', '混成旅', '，', '因此', '共有', '兵力', '约', '一万', '数千', '人', '。']"
Ns,Nh,"(7, 8)","(9, 10)",信阳,刘跃龙,"['这时', '，', '吴军', '赵云龙', '一', '旅', '在', '信阳', '，', '刘跃龙', '一旅', '在', '广水', '，', '其余', '各', '旅', '在', '宜昌', '、', '沙市', '、', '巴东', '一带', '。']"
Ns,Ns,"(7, 8)","(12, 13)",信阳,广水,"['这时', '，', '吴军', '赵云龙', '一', '旅', '在', '信阳', '，', '刘跃龙', '一旅', '在', '广水', '，', '其余', '各', '旅', '在', '宜昌', '、', '沙市', '、', '巴东', '一带', '。']"
Nh,Ns,"(9, 10)","(12, 13)",刘跃龙,广水,"['这时', '，', '吴军', '赵云龙', '一', '旅', '在', '信阳', '，', '刘跃龙', '一旅', '在', '广水', '，', '其余', '各', '旅', '在', '宜昌', '、', '沙市', '、', '巴东', '一带', '。']"
Ns,Ns,"(12, 13)","(18, 19)",广水,宜昌,"['这时', '，', '吴军', '赵云龙', '一', '旅', '在', '信阳', '，', '刘跃龙', '一旅', '在', '广水', '，', '其余', '各', '旅', '在', '宜昌', '、', '沙市', '、', '巴东', '一带', '。']"
Ns,Ns,"(18, 19)","(20, 21)",宜昌,沙市,"['这时', '，', '吴军', '赵云龙', '一', '旅', '在', '信阳', '，', '刘跃龙', '一旅', '在', '广水', '，', '其余', '各', '旅', '在', '宜昌', '、', '沙市', '、', '巴东', '一带', '。']"
Ns,Ns,"(18, 19)","(22, 23)",宜昌,巴东,"['这时', '，', '吴军', '赵云龙', '一', '旅', '在', '信阳', '，', '刘跃龙', '一旅', '在', '广水', '，', '其余', '各', '旅', '在', '宜昌', '、', '沙市', '、', '巴东', '一带', '。']"
Ns,Ns,"(20, 21)","(22, 23)",沙市,巴东,"['这时', '，', '吴军', '赵云龙', '一', '旅', '在', '信阳', '，', '刘跃龙', '一旅', '在', '广水', '，', '其余', '各', '旅', '在', '宜昌', '、', '沙市', '、', '巴东', '一带', '。']"
